;precision;recall;f1-score;support
0.0;1.0;1.0;1.0;9259.0
1.0;1.0;1.0;1.0;207.0
2.0;1.0;1.0;1.0;205.0
3.0;1.0;1.0;1.0;197.0
4.0;1.0;1.0;1.0;147.0
5.0;1.0;1.0;1.0;218.0
6.0;1.0;1.0;1.0;200.0
7.0;1.0;1.0;1.0;211.0
8.0;1.0;1.0;1.0;252.0
9.0;1.0;1.0;1.0;202.0
10.0;1.0;1.0;1.0;195.0
11.0;1.0;1.0;1.0;210.0
12.0;1.0;1.0;1.0;204.0
13.0;1.0;1.0;1.0;207.0
14.0;1.0;1.0;1.0;196.0
15.0;1.0;1.0;1.0;178.0
16.0;1.0;1.0;1.0;191.0
17.0;1.0;1.0;1.0;204.0
18.0;1.0;1.0;1.0;181.0
19.0;1.0;1.0;1.0;190.0
20.0;1.0;1.0;1.0;163.0
21.0;1.0;1.0;1.0;218.0
22.0;1.0;1.0;1.0;189.0
23.0;1.0;1.0;1.0;185.0
24.0;1.0;1.0;1.0;207.0
25.0;1.0;1.0;1.0;200.0
26.0;1.0;1.0;1.0;193.0
27.0;1.0;1.0;1.0;195.0
28.0;1.0;1.0;1.0;214.0
29.0;1.0;1.0;1.0;187.0
30.0;1.0;1.0;1.0;213.0
31.0;1.0;1.0;1.0;192.0
32.0;1.0;1.0;1.0;191.0
33.0;1.0;1.0;1.0;193.0
34.0;1.0;1.0;1.0;208.0
35.0;1.0;1.0;1.0;198.0
36.0;1.0;1.0;1.0;183.0
37.0;1.0;1.0;1.0;210.0
38.0;1.0;1.0;1.0;192.0
39.0;1.0;1.0;1.0;204.0
40.0;1.0;1.0;1.0;215.0
41.0;1.0;1.0;1.0;199.0
42.0;1.0;1.0;1.0;193.0
43.0;1.0;1.0;1.0;208.0
44.0;1.0;1.0;1.0;209.0
45.0;1.0;1.0;1.0;183.0
46.0;1.0;1.0;1.0;204.0
accuracy;1.0;1.0;1.0;1.0
macro avg;1.0;1.0;1.0;18400.0
weighted avg;1.0;1.0;1.0;18400.0
